# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	14506	0.601379
Catharus aurantiirostris	range	0	360	14507	0.586281
Catharus aurantiirostris	range	0	360	14508	0.569630
Catharus aurantiirostris	range	0	360	14509	0.567409
Catharus aurantiirostris	range	0	360	14510	0.569585
Catharus aurantiirostris	range	0	360	14511	0.526664
Catharus aurantiirostris	range	0	360	14512	0.472751
Catharus aurantiirostris	range	0	360	14513	0.419360
Catharus aurantiirostris	range	0	360	14514	0.000361
Catharus aurantiirostris	range	0	360	14515	0.000275
Catharus aurantiirostris	range	0	360	14516	0.000187
Catharus aurantiirostris	range	0	360	14517	0.000112
Catharus aurantiirostris	range	0	360	14518	0.000573
Catharus aurantiirostris	range	0	360	14519	0.000226
Catharus aurantiirostris	range	0	360	14520	0.000113
Catharus aurantiirostris	range	0	360	14846	0.000379
Catharus aurantiirostris	range	0	360	14847	0.000413
Catharus aurantiirostris	range	0	360	14848	0.000444
Catharus aurantiirostris	range	0	360	14849	0.489331
Catharus aurantiirostris	range	0	360	14850	0.506528
Catharus aurantiirostris	range	0	360	14851	0.526036
Catharus aurantiirostris	range	0	360	14852	0.005484
Catharus aurantiirostris	range	0	360	14853	0.570076
Catharus aurantiirostris	range	0	360	14854	0.599941
Catharus aurantiirostris	range	0	360	14855	0.639293
Catharus aurantiirostris	range	0	360	14856	0.631091
Catharus aurantiirostris	range	0	360	14857	0.603647
Catharus aurantiirostris	range	0	360	14858	0.005486
Catharus aurantiirostris	range	0	360	14859	0.004784
Catharus aurantiirostris	range	0	360	14860	0.003736
Catharus aurantiirostris	range	0	360	14861	0.002812
Catharus aurantiirostris	range	0	360	14862	0.001787
Catharus aurantiirostris	range	0	360	14863	0.001118
Catharus aurantiirostris	range	0	360	14864	0.000584
Catharus aurantiirostris	range	0	360	14865	0.000192
Catharus aurantiirostris	range	0	360	14870	0.000003
Catharus aurantiirostris	range	0	360	14871	0.000008
Catharus aurantiirostris	range	0	360	14872	0.000008
Catharus aurantiirostris	range	0	360	14873	0.000008
Catharus aurantiirostris	range	0	360	14874	0.000008
Catharus aurantiirostris	range	0	360	14875	0.000003
Catharus aurantiirostris	range	0	360	15195	0.000328
Catharus aurantiirostris	range	0	360	15196	0.000364
Catharus aurantiirostris	range	0	360	15197	0.000409
Catharus aurantiirostris	range	0	360	15199	0.005311
Catharus aurantiirostris	range	0	360	15200	0.592262
Catharus aurantiirostris	range	0	360	15201	0.650319
Catharus aurantiirostris	range	0	360	15202	0.673344
Catharus aurantiirostris	range	0	360	15203	0.667932
Catharus aurantiirostris	range	0	360	15204	0.640275
Catharus aurantiirostris	range	0	360	15205	0.570188
Catharus aurantiirostris	range	0	360	15206	0.468228
Catharus aurantiirostris	range	0	360	15207	0.368457
Catharus aurantiirostris	range	0	360	15208	0.262424
Catharus aurantiirostris	range	0	360	15209	0.165411
Catharus aurantiirostris	range	0	360	15210	0.000854
Catharus aurantiirostris	range	0	360	15211	0.000384
Catharus aurantiirostris	range	0	360	15212	0.000007
Catharus aurantiirostris	range	0	360	15215	0.000008
Catharus aurantiirostris	range	0	360	15216	0.000008
Catharus aurantiirostris	range	0	360	15217	0.000019
Catharus aurantiirostris	range	0	360	15218	0.000024
Catharus aurantiirostris	range	0	360	15219	0.000024
Catharus aurantiirostris	range	0	360	15220	0.000024
Catharus aurantiirostris	range	0	360	15221	0.000016
Catharus aurantiirostris	range	0	360	15222	0.000011
Catharus aurantiirostris	range	0	360	15225	0.000003
Catharus aurantiirostris	range	0	360	15226	0.000008
Catharus aurantiirostris	range	0	360	15227	0.000008
Catharus aurantiirostris	range	0	360	15228	0.000079
Catharus aurantiirostris	range	0	360	15229	0.000008
Catharus aurantiirostris	range	0	360	15230	0.000008
Catharus aurantiirostris	range	0	360	15231	0.000003
Catharus aurantiirostris	range	0	360	15549	0.005301
Catharus aurantiirostris	range	0	360	15550	0.590922
Catharus aurantiirostris	range	0	360	15551	0.643154
Catharus aurantiirostris	range	0	360	15552	0.673096
Catharus aurantiirostris	range	0	360	15553	0.656557
Catharus aurantiirostris	range	0	360	15554	0.603136
Catharus aurantiirostris	range	0	360	15555	0.509747
Catharus aurantiirostris	range	0	360	15556	0.408724
Catharus aurantiirostris	range	0	360	15557	0.302569
Catharus aurantiirostris	range	0	360	15558	0.002088
Catharus aurantiirostris	range	0	360	15559	0.001256
Catharus aurantiirostris	range	0	360	15560	0.000586
Catharus aurantiirostris	range	0	360	15561	0.000011
Catharus aurantiirostris	range	0	360	15563	0.000008
Catharus aurantiirostris	range	0	360	15564	0.000019
Catharus aurantiirostris	range	0	360	15565	0.000024
Catharus aurantiirostris	range	0	360	15566	0.000035
Catharus aurantiirostris	range	0	360	15567	0.000042
Catharus aurantiirostris	range	0	360	15568	0.000042
Catharus aurantiirostris	range	0	360	15569	0.000042
Catharus aurantiirostris	range	0	360	15570	0.000031
Catharus aurantiirostris	range	0	360	15571	0.000016
Catharus aurantiirostris	range	0	360	15572	0.000007
Catharus aurantiirostris	range	0	360	15573	0.000003
Catharus aurantiirostris	range	0	360	15574	0.000008
Catharus aurantiirostris	range	0	360	15575	0.000008
Catharus aurantiirostris	range	0	360	15576	0.000016
Catharus aurantiirostris	range	0	360	15577	0.000157
Catharus aurantiirostris	range	0	360	15578	0.000016
Catharus aurantiirostris	range	0	360	15579	0.000016
Catharus aurantiirostris	range	0	360	15580	0.000008
Catharus aurantiirostris	range	0	360	15900	0.005655
Catharus aurantiirostris	range	0	360	15901	0.006133
Catharus aurantiirostris	range	0	360	15902	0.006098
Catharus aurantiirostris	range	0	360	15903	0.582088
Catharus aurantiirostris	range	0	360	15904	0.536274
Catharus aurantiirostris	range	0	360	15905	0.456178
Catharus aurantiirostris	range	0	360	15906	0.347768
