# taxon distribution range models
# data save on : 2023-10-04T14:59:22-03:00
taxon	type	age	equator	pixel	density
Catharus guttatus	points	0	360	4076	1.000000
Catharus guttatus	points	0	360	4077	1.000000
Catharus guttatus	points	0	360	4079	1.000000
Catharus guttatus	points	0	360	4080	1.000000
Catharus guttatus	points	0	360	4082	1.000000
Catharus guttatus	points	0	360	4084	1.000000
Catharus guttatus	points	0	360	4092	1.000000
Catharus guttatus	points	0	360	4097	1.000000
Catharus guttatus	points	0	360	4292	1.000000
Catharus guttatus	points	0	360	4294	1.000000
Catharus guttatus	points	0	360	4295	1.000000
Catharus guttatus	points	0	360	4296	1.000000
Catharus guttatus	points	0	360	4297	1.000000
Catharus guttatus	points	0	360	4298	1.000000
Catharus guttatus	points	0	360	4299	1.000000
Catharus guttatus	points	0	360	4302	1.000000
Catharus guttatus	points	0	360	4307	1.000000
Catharus guttatus	points	0	360	4309	1.000000
Catharus guttatus	points	0	360	4311	1.000000
Catharus guttatus	points	0	360	4312	1.000000
Catharus guttatus	points	0	360	4318	1.000000
Catharus guttatus	points	0	360	4319	1.000000
Catharus guttatus	points	0	360	4325	1.000000
Catharus guttatus	points	0	360	4339	1.000000
Catharus guttatus	points	0	360	4516	1.000000
Catharus guttatus	points	0	360	4520	1.000000
Catharus guttatus	points	0	360	4521	1.000000
Catharus guttatus	points	0	360	4522	1.000000
Catharus guttatus	points	0	360	4523	1.000000
Catharus guttatus	points	0	360	4524	1.000000
Catharus guttatus	points	0	360	4525	1.000000
Catharus guttatus	points	0	360	4531	1.000000
Catharus guttatus	points	0	360	4534	1.000000
Catharus guttatus	points	0	360	4536	1.000000
Catharus guttatus	points	0	360	4546	1.000000
Catharus guttatus	points	0	360	4548	1.000000
Catharus guttatus	points	0	360	4551	1.000000
Catharus guttatus	points	0	360	4746	1.000000
Catharus guttatus	points	0	360	4748	1.000000
Catharus guttatus	points	0	360	4749	1.000000
Catharus guttatus	points	0	360	4750	1.000000
Catharus guttatus	points	0	360	4751	1.000000
Catharus guttatus	points	0	360	4764	1.000000
Catharus guttatus	points	0	360	4765	1.000000
Catharus guttatus	points	0	360	4766	1.000000
Catharus guttatus	points	0	360	4767	1.000000
Catharus guttatus	points	0	360	4770	1.000000
Catharus guttatus	points	0	360	4771	1.000000
Catharus guttatus	points	0	360	4774	1.000000
Catharus guttatus	points	0	360	4777	1.000000
Catharus guttatus	points	0	360	4779	1.000000
Catharus guttatus	points	0	360	4785	1.000000
Catharus guttatus	points	0	360	4978	1.000000
Catharus guttatus	points	0	360	4979	1.000000
Catharus guttatus	points	0	360	4980	1.000000
Catharus guttatus	points	0	360	4981	1.000000
Catharus guttatus	points	0	360	4982	1.000000
Catharus guttatus	points	0	360	4983	1.000000
Catharus guttatus	points	0	360	4984	1.000000
Catharus guttatus	points	0	360	4985	1.000000
Catharus guttatus	points	0	360	4997	1.000000
Catharus guttatus	points	0	360	4998	1.000000
Catharus guttatus	points	0	360	5000	1.000000
Catharus guttatus	points	0	360	5001	1.000000
Catharus guttatus	points	0	360	5002	1.000000
Catharus guttatus	points	0	360	5003	1.000000
Catharus guttatus	points	0	360	5004	1.000000
